section,claim,cite_key,supporting_text,doi,verified_on,verification_route
2.1,Experimental values were assembled from the Starrydata curated transport database.,katsura2025starrydata,"Verified title: 'Starrydata: from published plots to shared materials data' (Sci. Technol. Adv. Mater.: Methods 5(1), 2025; Katsura, Kumagai, Mato et al.). The title states directly that the resource converts published plots into shared materials data, which is the claim made. NOTE: abstract NOT read - Crossref carries none and the publisher returns HTTP 403 to automated requests. Before submission a human should open the paper and replace this text with a sentence from the abstract.",10.1080/27660400.2025.2506976,2026-09-04,Crossref metadata; abstract NOT read
2.1,"...read at the published snapshot of 1 July 2025, so the corpus can be regenerated exactly.",mato2025starrydata,"DataCite record title: '20250701_starrydata2' - a dated figshare deposit of the Starrydata2 database. Supports that a specific dated snapshot was used, and nothing more. NOT a citation for the database as a resource; that is katsura2025starrydata.",10.6084/m9.figshare.29438735,2026-09-04,DataCite metadata
2.1,First-principles values were drawn from AFLOW.,curtarolo2012aflow,"Verified title: 'AFLOW: An automatic framework for high-throughput materials discovery' (Comput. Mater. Sci., 2012). Supports AFLOW being a high-throughput first-principles materials repository. NOTE: abstract not carried by Crossref; a human should confirm it covers thermal/thermodynamic properties before this supports the kappa-specific use.",10.1016/j.commatsci.2012.02.005,2026-09-04,Crossref metadata; abstract NOT read
2.1,First-principles values were drawn from ... the Materials Project.,jain2013commentary,From the abstract: 'The Materials Project ... uses high-throughput computing to uncover the properties of all known inorganic materials. This open dataset can be accessed through multiple channels for both interactive exploration and data mining.' Supports use as a source of computed inorganic-materials properties.,10.1063/1.4812323,2026-09-04,"Crossref abstract, read"
2.1,First-principles values were drawn from ... JARVIS.,choudhary2020the,"From the abstract: 'JARVIS is an integrated infrastructure to accelerate materials discovery and design using density functional theory (DFT), classical force-fields (FF), and machine learning (ML) techniques ... JARVIS-DFT [contains] ~40,000 materials and ~1 million calculated properties.' Supports use as a DFT property repository.",10.1038/s41524-020-00440-1,2026-09-04,"Crossref abstract, read"
2.1,First-principles values were drawn from ... OQMD.,kirklin2015the,"From the abstract: 'The OQMD is a high-throughput database consisting of nearly 300,000 density functional theory (DFT) total energy calculations of compounds from the ICSD and decorations of commonly occurring crystal structures.' Supports use as a DFT repository. NOTE: the paper is about formation-energy accuracy, not thermal conductivity; it is cited only as the database reference.",10.1038/npjcompumats.2015.10,2026-09-04,"Crossref abstract, read"
2.1,Crystal structures were taken ... together with COD and OPTIMADE-federated sources.,andersen2021optimade,From the abstract: 'The Open Databases Integration for Materials Design (OPTIMADE) consortium has designed a universal application programming interface (API) to make materials databases accessible and interoperable.' Supports OPTIMADE being the federation mechanism used to query multiple structure databases.,10.1038/s41597-021-00974-z,2026-09-04,"Crossref abstract, read"
2.3,"the Lorenz number L taken from the single-parabolic-band parameterisation of Kim and Snyder, L = 1.5 + exp(-|S|/116) in units of 1e-8 W ohm K^-2 with S in microvolt/K",kim2015characteri,"From the abstract, verbatim: 'We propose the equation: L=1.5+exp(-|S|/116) (where L is in 10^-8 W Ohm K^-2 and S in microV/K) as a satisfactory approximation for L. This equation is accurate within 5% for single parabolic band/acoustic phonon scattering assumption and within 20% for PbSe, PbS, PbTe, Si0.8Ge0.2.' Supports both the formula and its stated units exactly as written in our text.",10.1063/1.4908244,2026-09-04,"Crossref abstract, read"
3.1,Half Heuslers are semiconducting at VEC = 18.,graf2011simple,"PRIMARY SOURCE READ (data/pdfs/inbox/1-s2.0-S0079678611000021-main.pdf). Verbatim, Section 8: 'As explained in Section 6.2.1, Half-Heusler materials with 18 valence electrons exhibit semiconducting properties.' Supports the claim exactly as written. The mechanism is given earlier: 'In this simplified model they become stable closed shell ions, i.e. a d10 configuration for Y and a s2p6 configuration for Z. This procedure requires 18 valence electrons... Due to the closed shell configuration, Half-Heusler compounds with 18 valence electrons are particularly stable. Changing the valence electron number to a different value mostly causes the compounds to become magnetic and crystallize in a different crystal structure.' The same source ALSO supports our rare-earth counting convention: 'the family of RE PdBi materials, in which Pd contributes ten valence electrons, the RE metal three and Bi five, respectively, which again sums up to 18 valence electrons.' Note the paper records MnNiSb as a 22-electron half-Heusler exception, consistent with our softened wording.",10.1016/j.progsolidstchem.2011.02.001,2026-09-04,PRIMARY SOURCE READ in full
3.3,We train gradient-boosted decision trees (CatBoost).,prokhorenkova2017catboost,"From the abstract: 'This paper presents the key algorithmic techniques behind CatBoost, a new gradient boosting toolkit ... Two critical algorithmic advances introduced in CatBoost are the implementation of ordered boosting, a permutation-driven alternative to the classic algorithm, and an innovative algorithm for processing categorical features.' Supports CatBoost being the gradient-boosting implementation cited.",10.48550/arXiv.1706.09516,2026-09-04,"DataCite abstract, read"
